kH,c_analytical
3.283076923076922782e+00,1.934706690343238167e+00
3.286754530714905087e+00,1.934280936454849442e+00
3.291371237458193821e+00,1.933758743719052875e+00
3.292641344389592106e+00,1.933612040133779297e+00
3.298543091092889235e+00,1.932943143812708930e+00
3.299665551839464861e+00,1.932818226017793517e+00
3.304453056546088341e+00,1.932274247491638786e+00
3.307959866220735901e+00,1.931884872039391077e+00
3.310426060015117855e+00,1.931605351170568641e+00
3.316254180602006940e+00,1.930959788030167879e+00
3.316460585931633620e+00,1.930936454849498274e+00
3.322467603122290392e+00,1.930267558528428129e+00
3.324548494983277536e+00,1.930040908039473813e+00
3.328527725730696218e+00,1.929598662207357762e+00
3.332842809364548575e+00,1.929129897323429432e+00
3.334648650547048732e+00,1.928929765886287839e+00
3.340815495622127429e+00,1.928260869565217472e+00
3.341137123745819615e+00,1.928226530269356198e+00
3.346964209829450532e+00,1.927591973244147106e+00
3.349431438127090210e+00,1.927329304805938115e+00
3.353173205708317894e+00,1.926923076923076961e+00
3.357725752508361694e+00,1.926439834480384805e+00
3.359441232997632643e+00,1.926254180602006816e+00
3.365756038241674908e+00,1.925585284280936449e+00
3.366020066889632290e+00,1.925557758230166394e+00
3.372055386651600095e+00,1.924916387959866082e+00
3.374314381270902885e+00,1.924681630466832161e+00
3.378413548466893790e+00,1.924247491638795937e+00
3.382608695652173925e+00,1.923812967584386691e+00
3.384829433178222047e+00,1.923578595317725792e+00
3.390903010033444964e+00,1.922951657020649741e+00
3.391302014907482398e+00,1.922909698996655425e+00
3.397770914594883340e+00,1.922240802675585281e+00
3.399197324414715560e+00,1.922096311651434908e+00
3.404280222276032219e+00,1.921571906354514914e+00
3.407491638795986599e+00,1.921247789564106023e+00
3.410846416793389402e+00,1.920903010033444769e+00
3.415785953177257639e+00,1.920406360141889257e+00
3.417468624079543993e+00,1.920234113712374624e+00
3.424080267558528234e+00,1.919571921617749366e+00
3.424146029213998688e+00,1.919565217391304257e+00
3.430813172626286711e+00,1.918896321070234112e+00
3.432374581939798830e+00,1.918742997800566341e+00
3.437534010487095060e+00,1.918227424749163967e+00
3.440668896321070314e+00,1.917920867153930953e+00
3.444310674821324803e+00,1.917558528428093823e+00
3.448963210702340909e+00,1.917105495809592330e+00
3.451142501378729133e+00,1.916889632107023456e+00
3.457257525083612393e+00,1.916296791808521194e+00
3.458028881753146155e+00,1.916220735785953089e+00
3.464944170689538527e+00,1.915551839464882944e+00
3.465551839464882988e+00,1.915494138352593634e+00
3.471882309196044680e+00,1.914882943143812577e+00
3.473846153846153584e+00,1.914697331524518376e+00
3.478876125442991185e+00,1.914214046822742432e+00
3.482140468227424623e+00,1.913906986481231920e+00
3.485925168081783099e+00,1.913545150501672509e+00
3.490434782608695663e+00,1.913123020255422801e+00
3.493029040558825571e+00,1.912876254180601920e+00
3.498729096989966258e+00,1.912345352194710690e+00
3.500187400369270119e+00,1.912207357859531776e+00
3.507023411371237298e+00,1.911573903902612281e+00
3.507399958450495348e+00,1.911538461538461631e+00
3.514638644760649910e+00,1.910869565217391264e+00
3.515317725752508338e+00,1.910808023618725926e+00
3.521917506090885386e+00,1.910200668896321119e+00
3.523612040133778933e+00,1.910047932550024141e+00
3.529252514037165334e+00,1.909531772575250752e+00
3.531906354515050417e+00,1.909293892123256509e+00
3.536643557042113528e+00,1.908862876254180385e+00
3.540200668896321012e+00,1.908545831922606961e+00
3.544090579705764021e+00,1.908193979933110462e+00
3.548494983277591608e+00,1.907803683568756625e+00
3.551593582935807181e+00,1.907525083612040095e+00
3.556789297658863092e+00,1.907067380673752366e+00
3.559152624247860608e+00,1.906856187290969951e+00
3.565083612040133687e+00,1.906336858798083345e+00
3.566767818218555597e+00,1.906187290969899584e+00
3.573377926421404727e+00,1.905612055409889205e+00
3.574439337094173830e+00,1.905518394648829439e+00
3.581672240802675766e+00,1.904892909846277460e+00
3.582167411558947911e+00,1.904849498327759072e+00
3.589951729888797072e+00,1.904180602006688705e+00
3.589966555183946362e+00,1.904179351163418188e+00
3.597774751764342138e+00,1.903511705685618782e+00
3.598260869565217845e+00,1.903470962967736435e+00
3.605657879397533794e+00,1.902842809364548415e+00
3.606555183946488441e+00,1.902768113120890892e+00
3.613601590263056718e+00,1.902173913043478048e+00
3.614849498327759036e+00,1.902070747950597829e+00
3.621606430714133573e+00,1.901505016722407904e+00
3.623143812709030076e+00,1.901378815530101463e+00
3.629673017910198141e+00,1.900836120401337759e+00
3.631438127090301116e+00,1.900692265651505064e+00
3.637802041973865919e+00,1.900167224080267836e+00
3.639732441471571711e+00,1.900011049801023644e+00
3.645994268390500004e+00,1.899498327759197247e+00
3.648026755852842307e+00,1.899335121136143778e+00
3.654250540664909508e+00,1.898829431438127102e+00
3.656321070234113790e+00,1.898664434464676809e+00
3.662571783251918234e+00,1.898160535117057179e+00
3.664615384615384386e+00,1.897998946225714079e+00
3.670959004778569401e+00,1.897491638795986812e+00
3.672909698996655425e+00,1.897338614472443563e+00
3.679413301578910556e+00,1.896822742474916446e+00
3.681204013377926465e+00,1.896683398856864100e+00
3.687935861563665263e+00,1.896153846153846301e+00
3.689498327759197061e+00,1.896033260616380556e+00
3.696527968450213919e+00,1.895484949832775712e+00
3.697792642140468100e+00,1.895388162562297474e+00
3.705191006380672114e+00,1.894816053511705567e+00
3.706086956521739140e+00,1.894748069070222307e+00
3.713926464959185214e+00,1.894147157190635422e+00
3.714381270903009735e+00,1.894112946072388226e+00
3.722675585284281219e+00,1.893482714900794228e+00
3.722733538660358832e+00,1.893478260869565277e+00
3.730969899665551814e+00,1.892856987389597734e+00
3.731595210041311006e+00,1.892809364548494910e+00
3.739264214046822410e+00,1.892236082933828500e+00
3.740531379090672903e+00,1.892140468227424766e+00
3.747558528428093894e+00,1.891619973078229711e+00
3.749543931978504663e+00,1.891471571906354399e+00
3.755852842809364489e+00,1.891008630861819917e+00
3.758634885426441308e+00,1.890802675585284254e+00
3.764147157190635085e+00,1.890402030820732326e+00
3.767806394621595611e+00,1.890133779264214109e+00
3.772441471571906568e+00,1.889800148993145967e+00
3.777060761836021907e+00,1.889464882943143742e+00
3.780735785953177608e+00,1.889202962926328944e+00
3.786400445818777438e+00,1.888795986622073819e+00
3.789030100334447759e+00,1.888610451685873715e+00
3.795828072035765555e+00,1.888127090301003452e+00
3.797324414715719243e+00,1.888022595867189013e+00
3.805346443841701287e+00,1.887458193979933085e+00
3.805618729096989394e+00,1.887439377609325675e+00
3.813913043478260878e+00,1.886860018464396660e+00
3.814917321553246587e+00,1.886789297658862941e+00
3.822207357859531918e+00,1.886285006357753202e+00
3.824570494012574429e+00,1.886120401337792796e+00
3.830501672240802513e+00,1.885714526597872531e+00
3.834319941265984522e+00,1.885451505016722429e+00
3.838795986622073109e+00,1.885148566501753775e+00
3.844169132695328450e+00,1.884782608695652284e+00
3.847090301003344592e+00,1.884587114962003707e+00
3.854121774321844995e+00,1.884113712374581917e+00
3.855384615384615188e+00,1.884030162473435910e+00
3.863678929765886227e+00,1.883477343863297238e+00
3.864162134369725443e+00,1.883444816053511772e+00
3.871973244147157267e+00,1.882928043502665183e+00
3.874260183703884586e+00,1.882775919732441405e+00
3.880267558528427863e+00,1.882383157778127369e+00
3.884469610054527067e+00,1.882107023411371260e+00
3.888561872909698902e+00,1.881842682357093288e+00
3.894795015831461260e+00,1.881438127090301116e+00
3.896856187290969942e+00,1.881306614596631288e+00
3.905150501672240537e+00,1.880774890437229896e+00
3.905237792253135609e+00,1.880769230769230749e+00
3.913444816053511577e+00,1.880246063311929117e+00
3.915721415940227601e+00,1.880100334448160604e+00
3.921739130434782616e+00,1.879721575894970353e+00
3.926331352653554152e+00,1.879431438127090681e+00
3.930033444816053212e+00,1.879201430844364307e+00
3.937073358665051259e+00,1.878762541806020092e+00
3.938327759197324696e+00,1.878685632646146075e+00
3.946622073578595291e+00,1.878173283106733260e+00
3.947901958065554329e+00,1.878093645484949725e+00
3.954916387959865887e+00,1.877664362830043565e+00
3.958820759952439872e+00,1.877424749163879580e+00
3.963210702341137370e+00,1.877159737662354999e+00
3.969885072469720111e+00,1.876755852842809436e+00
3.971505016722407966e+00,1.876659417683460784e+00
3.979799331103678561e+00,1.876162545609595611e+00
3.981051837819382655e+00,1.876086956521739069e+00
3.988093645484950045e+00,1.875668837294916624e+00
3.992309927669639880e+00,1.875418060200668702e+00
3.996387959866220640e+00,1.875179395002733784e+00
4.003729744198630591e+00,1.874749163879598779e+00
4.004682274247491236e+00,1.874694234708168539e+00
4.012976588628762720e+00,1.874211840109287541e+00
4.015229628361269398e+00,1.874080267558528412e+00
4.021270903010033315e+00,1.873733052871096927e+00
4.026864779177072862e+00,1.873411371237458489e+00
4.029565217391304799e+00,1.873258521213154504e+00
