kH,c_analytical
3.888561872909698902e+00,1.881842292318518517e+00
3.894795015831461260e+00,1.881438127090301116e+00
3.896856187290969942e+00,1.881306486443095949e+00
3.905150501672240537e+00,1.880774250366926692e+00
3.907043134261487083e+00,1.880652173913043512e+00
3.913444816053511133e+00,1.880245413849470193e+00
3.919425735576747449e+00,1.879866220735786131e+00
3.921739130434782616e+00,1.879721718233916539e+00
3.930033444816053212e+00,1.879201602307243979e+00
3.931958563859357270e+00,1.879080267558528528e+00
3.938327759197324252e+00,1.878684718553184974e+00
3.944633650382544765e+00,1.878294314381271146e+00
3.946622073578595291e+00,1.878172997577256531e+00
3.954916387959865887e+00,1.877664402083281114e+00
3.957453391914486307e+00,1.877508361204013543e+00
3.963210702341137370e+00,1.877159352216146715e+00
3.970447967402273903e+00,1.876722408026755939e+00
3.971505016722407966e+00,1.876659500267596314e+00
3.979799331103678561e+00,1.876161850730086345e+00
3.983559784528236669e+00,1.875936454849498336e+00
3.988093645484950045e+00,1.875668545602622750e+00
3.996387959866220640e+00,1.875180085281558551e+00
3.996885322993541934e+00,1.875150501672240955e+00
4.004682274247491236e+00,1.874693231838485463e+00
4.010317585014944619e+00,1.874364548494983573e+00
4.012976588628762720e+00,1.874211612644496983e+00
4.021270903010033315e+00,1.873733176108542731e+00
4.023943500948141683e+00,1.873578595317725748e+00
4.029565217391304799e+00,1.873257910224017220e+00
4.037775580257313202e+00,1.872792642140468367e+00
4.037859531772575394e+00,1.872787949471083735e+00
4.046153846153845990e+00,1.872319020936271894e+00
4.051715935504518917e+00,1.872006688963210763e+00
4.054448160535116585e+00,1.871855331437318970e+00
4.062742474916388069e+00,1.871394602181206457e+00
4.065868488685921101e+00,1.871220735785953160e+00
4.071036789297658665e+00,1.870937113373269067e+00
4.079331103678930148e+00,1.870484327278967962e+00
4.080230846111527754e+00,1.870434782608695778e+00
4.087625418060200744e+00,1.870032974051998753e+00
4.094757186164820872e+00,1.869648829431438175e+00
4.095919732441471339e+00,1.869587027478110786e+00
4.104214046822741935e+00,1.869142607299907333e+00
4.109463879448529866e+00,1.868862876254180794e+00
4.112508361204013418e+00,1.868702749469171698e+00
4.120802675585284014e+00,1.868265721334843921e+00
4.124386173121422416e+00,1.868076923076923190e+00
4.129096989966555498e+00,1.867831901637066139e+00
4.137391304347826093e+00,1.867402038154789778e+00
